userid,age,dob_day,dob_year,dob_month,gender,tenure,friend_count,friendships_initiated,likes,likes_received,mobile_likes,mobile_likes_received,www_likes,www_likes_received
1693009,37,6,1976,6,female,374,49,33,45,24,45,15,0,9
1018512,21,7,1992,9,female,303,48,27,47,22,0,19,47,3
1142429,34,26,1979,11,male,344,48,24,46,2,46,2,0,0
1214932,22,5,1991,10,male,27,48,34,46,12,46,11,0,1
1269393,40,31,1973,4,female,266,49,28,47,52,47,45,0,7
2154572,32,19,1981,8,male,994,49,17,49,560,0,83,49,477
1957200,20,4,1993,7,female,1836,48,2,48,26,47,16,1,10
1276284,29,1,1984,5,female,41,49,32,49,60,39,51,10,9
1177572,32,20,1981,8,male,608,48,41,48,5,48,3,0,2
1267974,24,21,1989,1,male,431,49,30,48,9,48,8,0,1
1268466,32,25,1981,2,female,411,49,38,51,7,51,6,0,1
2154571,76,18,1937,2,male,230,49,39,50,4,50,3,0,1
1752362,25,2,1988,5,female,184,49,34,51,1,51,1,0,0
2111662,30,15,1983,4,female,309,48,41,51,1,51,1,0,0
1918355,35,11,1978,12,female,912,48,17,50,14,50,13,0,1
1755775,98,18,1915,10,male,598,49,43,51,76,51,73,0,3
2002007,22,12,1991,2,female,356,49,32,50,35,50,24,0,11
1061488,30,26,1983,5,male,827,49,39,51,47,51,44,0,3
1811520,23,5,1990,5,female,747,48,33,53,6,0,3,53,3
1455117,13,2,2000,7,male,677,49,39,52,18,36,11,16,7
1956871,15,18,1998,10,male,408,48,37,52,5,52,1,0,4
1651593,25,1,1988,4,male,501,49,23,52,53,52,34,0,19
1149738,18,19,1995,1,NA,1724,48,29,54,33,5,27,49,6
1188112,47,29,1966,5,male,603,48,20,55,24,21,19,34,5
1637311,20,15,1993,1,female,442,49,24,54,48,54,46,0,2
1259196,35,10,1978,5,male,418,48,29,57,12,1,2,56,10
1698699,39,7,1974,4,female,1480,48,27,57,62,49,42,8,20
1884678,47,10,1966,6,male,1266,48,24,56,0,56,0,0,0
1658453,24,1,1989,4,male,143,48,39,58,7,58,7,0,0
1008904,35,12,1978,11,female,415,49,39,58,22,58,15,0,7
1255323,38,15,1975,11,male,277,49,32,60,21,0,10,60,11
1536792,22,15,1991,10,female,561,48,42,60,13,1,6,59,7
1866427,17,28,1996,2,male,1825,49,36,59,107,39,64,20,43
1833614,25,20,1988,2,female,859,49,9,59,8,58,6,1,2
1477142,39,11,1974,3,male,365,49,21,60,2,60,1,0,1
2084154,18,13,1995,1,male,261,48,34,59,51,59,46,0,5
1094656,56,5,1957,8,female,873,48,24,59,62,59,58,0,4
1328830,32,14,1981,2,female,430,49,37,62,9,0,5,62,4
1815509,61,21,1952,10,male,742,49,13,61,4,0,2,61,2
1940315,19,17,1994,7,female,2170,48,13,63,30,0,6,63,24
1203989,33,11,1980,11,male,498,48,21,61,15,60,12,1,3
1922014,47,1,1966,8,female,780,49,41,63,6,63,4,0,2
1901199,49,14,1964,1,female,598,48,26,62,4,62,2,0,2
1376840,21,15,1992,11,female,362,48,28,63,55,63,55,0,0
2161011,69,24,1944,6,male,153,49,33,61,47,61,45,0,2
1159280,31,28,1982,7,female,503,49,31,61,41,61,16,0,25
1915462,49,27,1964,12,male,409,48,28,64,24,34,8,30,16
1765868,113,8,1900,4,male,1388,49,32,65,81,61,32,4,49
2015936,36,31,1977,5,male,1460,49,24,65,8,65,2,0,6
1466937,52,29,1961,8,female,505,48,15,65,60,65,51,0,9
1132404,15,21,1998,4,female,523,49,35,66,27,0,19,66,8
1043648,51,21,1962,6,male,505,49,36,68,91,0,17,68,74
1610752,33,7,1980,2,female,454,49,31,66,17,47,16,19,1
1177068,68,8,1945,2,female,371,48,24,66,40,59,17,7,23
1557419,25,10,1988,9,male,1476,48,23,66,15,57,11,9,4
1787725,49,24,1964,1,male,297,48,35,67,32,67,30,0,2
1317474,35,31,1978,3,male,107,48,28,67,33,67,21,0,12
1540227,15,19,1998,4,male,1094,49,36,71,57,0,3,71,54
1205793,30,30,1983,9,female,530,49,18,69,10,16,5,53,5
1570850,50,19,1963,5,male,381,48,44,69,8,56,2,13,6
1966380,68,5,1945,6,female,397,49,34,69,25,69,7,0,18
2189378,68,3,1945,3,male,285,48,33,70,53,70,51,0,2
1195648,18,21,1995,11,male,400,48,34,74,3,0,2,74,1
1351799,22,7,1991,6,male,234,48,38,72,33,0,13,72,20
1049407,61,30,1952,12,female,290,49,29,73,20,12,7,61,13
1403868,16,2,1997,11,male,159,49,29,72,126,0,52,72,74
1207216,29,1,1984,5,female,276,48,34,73,10,70,4,3,6
1026687,38,31,1975,10,male,134,49,42,73,5,73,4,0,1
1877998,55,28,1958,9,female,504,48,31,73,22,73,17,0,5
1460026,22,16,1991,5,female,100,48,36,74,45,74,32,0,13
1116556,25,3,1988,12,female,677,49,38,74,16,74,13,0,3
1154674,54,4,1959,4,male,349,48,42,74,51,74,42,0,9
1549456,51,16,1962,10,female,440,49,26,75,24,1,9,74,15
2049850,57,7,1956,11,female,116,49,31,77,91,68,35,9,56
1855722,17,22,1996,3,female,732,49,31,77,35,77,34,0,1
1324249,24,23,1989,4,female,915,48,38,75,25,75,6,0,19
1442771,21,1,1992,8,female,352,48,26,77,132,77,42,0,90
1086430,28,1,1985,12,female,1646,49,33,79,6,29,5,50,1
1838873,59,13,1954,7,female,443,49,42,78,104,77,87,1,17
2023727,14,5,1999,7,female,488,48,26,79,10,79,8,0,2
1275473,72,5,1941,10,male,468,49,25,79,250,79,84,0,166
2072450,35,15,1978,12,female,513,49,25,81,8,43,4,38,4
1337412,101,29,1912,8,male,306,49,17,84,1,83,1,1,0
1323401,46,2,1967,6,male,369,49,34,82,60,80,36,2,24
1843935,37,20,1976,10,female,381,48,31,84,91,65,86,19,5
2094311,28,5,1985,4,male,156,49,11,81,35,81,30,0,5
1158530,37,3,1976,1,female,54,49,28,81,15,81,7,0,8
1813029,52,20,1961,2,female,438,48,30,81,28,81,11,0,17
1977676,33,13,1980,5,female,1151,49,20,84,32,84,19,0,13
1665805,21,30,1992,3,male,15,48,30,81,58,81,58,0,0
2048603,33,3,1980,1,female,11,48,31,84,138,84,128,0,10
1731582,24,1,1989,12,female,496,48,11,84,353,84,293,0,60
1691699,41,16,1972,10,female,1263,49,30,85,18,0,3,85,15
1462347,24,17,1989,2,male,603,48,32,85,60,81,44,4,16
1755155,23,9,1990,2,male,519,48,11,86,38,86,22,0,16
1903669,62,16,1951,12,female,508,49,21,86,50,86,43,0,7
2160439,80,25,1933,4,female,1235,48,28,90,5,70,4,20,1
2008062,18,1,1995,7,male,495,49,49,88,42,87,32,1,10
1399176,25,20,1988,10,male,1630,49,25,88,121,74,92,14,29
1775360,33,25,1980,7,female,488,48,33,91,54,91,41,0,13
1720697,70,31,1943,6,female,515,49,14,91,34,91,24,0,10
1194324,71,28,1942,4,female,363,49,38,92,32,5,15,87,17
1941814,18,25,1995,6,female,1655,48,28,92,278,0,13,92,265
2084269,43,8,1970,3,female,108,49,16,95,3,95,3,0,0
1080158,21,7,1992,8,female,247,48,36,96,64,90,33,6,31
1684572,30,19,1983,12,male,365,49,28,99,10,99,6,0,4
1382296,32,23,1981,6,female,1355,49,26,96,32,96,25,0,7
1668150,51,20,1962,8,male,1360,49,15,97,69,97,42,0,27
1467587,75,19,1938,11,female,501,48,42,100,88,0,23,100,65
2153970,30,27,1983,4,male,251,49,37,104,14,104,7,0,7
1304638,31,6,1982,5,female,134,48,28,106,32,1,17,105,15
1985106,56,2,1957,10,female,438,48,18,109,66,0,25,109,41
1614233,66,18,1947,3,female,661,49,20,105,30,0,16,105,14
1522538,59,11,1954,6,male,2058,48,33,109,102,64,63,45,39
1287224,20,10,1993,5,male,2173,49,21,108,158,53,76,55,82
1414622,25,9,1988,4,female,1732,49,34,106,32,81,14,25,18
1859174,50,15,1963,8,male,327,49,38,108,2,108,2,0,0
1112528,108,1,1905,10,male,283,48,26,110,52,0,15,110,37
1438802,37,13,1976,1,female,776,49,14,110,14,110,13,0,1
2108855,22,10,1991,1,male,164,48,31,113,65,113,49,0,16
1529700,45,18,1968,12,male,495,48,38,119,56,84,42,35,14
1277855,66,16,1947,9,female,48,49,39,116,70,114,67,2,3
2029196,27,8,1986,11,male,663,48,37,116,293,110,276,6,17
1240314,52,19,1961,1,female,305,48,36,117,13,117,3,0,10
1663969,22,29,1991,6,female,241,49,26,114,34,114,28,0,6
1065891,33,5,1980,1,female,1645,49,27,120,18,16,5,104,13
1125187,50,1,1963,10,female,676,48,24,122,125,0,93,122,32
1990345,52,9,1961,2,female,1187,48,22,126,68,0,10,126,58
1519108,30,15,1983,10,female,2115,48,13,128,29,0,21,128,8
2084179,47,8,1966,3,female,67,48,40,129,195,51,59,78,136
1673035,18,1,1995,8,female,351,49,26,125,38,125,30,0,8
1605616,50,10,1963,9,female,51,48,38,126,60,126,60,0,0
1551792,57,25,1956,8,female,555,48,8,128,130,128,103,0,27
1304020,73,9,1940,6,male,282,49,37,135,1,0,0,135,1
1729064,82,15,1931,8,female,1787,48,26,135,50,135,17,0,33
1490455,15,3,1998,10,female,388,49,37,141,15,0,1,141,14
2094561,58,1,1955,11,male,196,48,24,137,63,0,29,137,34
1323763,67,25,1946,1,female,445,48,30,140,31,48,14,92,17
1679083,26,12,1987,9,female,299,48,38,143,89,34,24,109,65
1017691,27,6,1986,8,male,393,49,33,142,147,128,63,14,84
1305241,50,9,1963,12,male,169,48,37,140,12,140,3,0,9
1200948,20,26,1993,1,male,188,48,44,137,31,137,22,0,9
1363502,53,4,1960,11,male,66,49,32,142,152,142,152,0,0
1294224,58,15,1955,9,female,377,49,39,145,2,145,1,0,1
1188980,23,2,1990,11,female,1382,48,17,149,193,149,134,0,59
1721142,67,26,1946,3,male,417,48,42,151,56,28,19,123,37
1380709,58,10,1955,7,female,340,49,23,157,15,156,10,1,5
1441149,41,7,1972,10,female,136,48,33,161,145,0,100,161,45
2008959,46,28,1967,1,female,338,49,27,164,200,0,84,164,116
1789198,64,6,1949,8,male,429,49,33,162,54,85,42,77,12
1512234,19,13,1994,4,male,320,48,29,164,63,159,24,5,39
1014931,100,21,1913,3,male,301,48,30,164,85,121,57,43,28
2057191,65,26,1948,10,female,653,49,15,164,165,149,28,15,137
2174277,59,26,1954,1,male,2054,48,10,164,28,164,20,0,8
1976820,25,25,1988,6,female,514,49,29,161,233,161,109,0,124
1055615,56,1,1957,2,female,253,49,36,159,313,159,269,0,44
2175164,28,18,1985,12,female,672,49,30,167,0,167,0,0,0
2016157,46,9,1967,2,female,74,49,36,168,24,168,23,0,1
1913649,22,11,1991,1,male,81,49,42,168,55,168,41,0,14
1545536,51,27,1962,7,female,214,48,40,165,126,165,80,0,46
1815136,54,24,1959,2,female,454,49,28,166,250,166,250,0,0
1818686,44,23,1969,9,female,226,48,21,177,206,37,74,140,132
1721203,31,3,1982,10,female,384,49,15,177,180,173,142,4,38
1520623,23,12,1990,12,female,307,49,29,174,394,159,141,15,253
1008709,57,8,1956,4,male,368,49,35,179,6,179,4,0,2
1284983,67,19,1946,1,female,2284,49,24,174,76,174,35,0,41
1268773,22,15,1991,3,female,276,49,36,177,88,177,66,0,22
1748670,23,10,1990,7,female,133,49,28,184,106,0,72,184,34
1523538,35,3,1978,9,male,325,48,27,184,121,0,10,184,111
1398882,32,6,1981,2,female,119,48,17,185,74,75,23,110,51
1629778,56,25,1957,4,male,262,49,35,185,1,169,1,16,0
1410351,46,16,1967,2,female,475,48,41,184,74,168,48,16,26
1752321,69,3,1944,6,female,128,49,20,188,145,188,145,0,0
1742391,23,29,1990,8,female,201,48,23,186,149,186,65,0,84
1640076,55,30,1958,7,female,493,49,28,196,32,0,26,196,6
1258790,16,7,1997,5,male,996,49,27,195,5,106,4,89,1
1136942,56,25,1957,8,female,787,48,13,207,195,29,143,178,52
1271654,16,19,1997,3,female,215,49,32,211,183,0,31,211,152
2041181,34,2,1979,4,female,311,48,19,207,7,207,1,0,6
1441912,34,20,1979,10,male,1342,49,26,206,142,206,93,0,49
1731703,20,16,1993,7,female,511,49,28,216,14,0,3,216,11
1570860,33,1,1980,8,female,282,49,31,219,54,219,32,0,22
1600394,58,19,1955,3,female,70,49,41,218,154,218,102,0,52
1827357,73,30,1940,10,female,299,48,31,226,209,221,120,5,89
2156080,13,28,2000,10,female,2248,48,22,229,226,216,198,13,28
1452704,25,1,1988,1,female,462,48,16,228,57,228,44,0,13
1819383,36,21,1977,4,female,200,48,33,230,272,230,229,0,43
1222254,77,30,1936,1,male,740,48,44,246,19,4,5,242,14
1607321,35,26,1978,4,female,203,49,16,239,473,210,87,29,386
1638221,38,23,1975,1,female,560,49,30,234,87,234,69,0,18
1766876,44,12,1969,2,female,149,48,36,239,184,239,165,0,19
1622095,57,1,1956,7,male,791,48,32,248,273,149,181,99,92
1071019,19,5,1994,10,female,2261,49,14,250,160,112,41,138,119
1965449,48,16,1965,6,female,627,48,23,256,136,192,50,64,86
1538839,31,22,1982,1,male,222,49,22,253,144,253,124,0,20
1743893,50,9,1963,5,female,307,49,46,255,45,255,44,0,1
1607910,18,1,1995,8,female,836,49,19,259,182,259,56,0,126
1252404,74,25,1939,12,female,593,49,35,268,58,211,23,57,35
1059616,17,10,1996,10,female,347,49,29,268,224,247,131,21,93
1426745,28,14,1985,6,male,1273,49,27,270,22,270,19,0,3
2145476,30,11,1983,3,male,39,49,44,267,144,267,142,0,2
1680417,67,9,1946,10,female,428,49,31,285,117,250,82,35,35
1210337,71,14,1942,4,female,143,49,37,300,20,0,2,300,18
1907062,61,3,1952,12,male,475,49,34,299,93,0,66,299,27
1402163,50,7,1963,10,female,1165,48,23,297,260,279,158,18,102
1511892,45,23,1968,7,female,1271,49,18,304,22,304,7,0,15
1386015,56,25,1957,4,female,739,48,16,296,153,296,35,0,118
1229515,68,28,1945,8,female,731,49,13,310,116,0,22,310,94
1094917,46,15,1967,6,female,807,48,26,315,67,0,15,315,52
2111470,67,5,1946,11,male,43,49,48,312,15,312,14,0,1
1772765,44,8,1969,1,female,1310,48,18,328,30,0,2,328,28
1303356,19,24,1994,9,male,1136,48,15,343,22,197,12,146,10
1197511,58,7,1955,10,female,173,48,33,336,193,94,96,242,97
1822709,59,1,1954,4,female,300,48,29,338,38,338,27,0,11
1880066,44,16,1969,2,female,594,48,30,367,156,211,127,156,29
1286068,57,2,1956,8,female,490,49,35,375,22,0,5,375,17
2049600,51,16,1962,12,female,227,48,36,385,22,385,15,0,7
1397953,44,20,1969,4,female,348,49,42,386,222,386,104,0,118
1421836,19,15,1994,7,female,1294,48,6,394,155,394,71,0,84
1048393,36,28,1977,12,male,168,49,31,398,109,306,50,92,59
1030294,54,4,1959,12,male,17,49,46,413,195,413,189,0,6
1663956,66,24,1947,1,male,904,48,29,443,46,443,37,0,9
1357624,57,5,1956,5,male,162,48,24,436,80,436,64,0,16
1038579,77,24,1936,10,female,51,49,32,426,136,426,121,0,15
1442550,28,22,1985,9,female,199,48,33,437,219,437,179,0,40
1945087,33,22,1980,2,male,128,48,42,478,64,339,7,139,57
2008774,33,24,1980,8,female,1603,48,22,469,162,258,95,211,67
1377781,100,28,1913,7,female,605,48,31,481,1170,258,419,223,751
1995136,44,1,1969,9,female,695,48,41,467,61,459,50,8,11
1602292,32,15,1981,9,female,649,48,28,464,242,463,146,1,96
1950362,28,10,1985,10,female,1126,48,29,510,271,510,211,0,60
2087995,63,20,1950,6,female,431,49,28,528,87,0,25,528,62
2078767,73,1,1940,1,female,282,49,41,558,153,558,131,0,22
1872605,38,10,1975,1,female,727,49,34,578,174,0,21,578,153
1195479,61,29,1952,11,female,725,49,22,584,167,580,93,4,74
1668590,15,4,1998,12,male,191,49,22,564,57,564,30,0,27
1615609,27,8,1986,12,female,292,49,36,582,151,582,100,0,51
1217775,19,27,1994,5,female,658,49,35,638,74,0,33,638,41
1154673,65,11,1948,9,female,198,48,25,650,579,650,520,0,59
1031847,58,2,1955,8,female,850,48,33,725,913,712,489,13,424
1459008,23,31,1990,10,female,525,49,30,690,40,690,19,0,21
1406322,46,21,1967,12,female,92,49,31,756,110,756,43,0,67
1703323,51,24,1962,4,male,229,48,15,839,47,0,39,839,8
2167615,56,8,1957,8,female,269,48,33,883,453,75,169,808,284
1718488,57,18,1956,11,male,739,48,24,966,792,641,107,325,685
1278790,17,10,1996,6,female,113,48,36,980,222,859,137,121,85
1529329,53,1,1960,11,female,662,49,35,914,297,914,157,0,140
1629218,46,27,1967,7,female,205,48,31,1130,1235,1114,488,16,747
1893231,98,3,1915,10,female,572,49,24,1121,274,1121,199,0,75
1566956,15,15,1998,11,female,1046,49,26,1144,303,0,38,1144,265
1656270,20,25,1993,10,female,1599,48,27,1168,32,387,18,781,14
1115371,23,27,1990,2,male,536,48,25,1148,54,305,27,843,27
1593042,46,11,1967,1,male,140,49,45,1637,159,0,62,1637,97
1922423,20,22,1993,11,female,1265,49,13,1816,181,1035,65,781,116
1591520,22,12,1991,11,male,154,49,40,2127,90,2127,55,0,35
2158968,34,27,1979,5,female,402,49,36,1961,441,1961,216,0,225
1731340,25,14,1988,11,female,1641,49,27,3109,44,3109,38,0,6
1172980,17,10,1996,5,female,297,48,15,2562,3949,2562,2960,0,989
1879306,22,20,1991,2,male,181,50,35,0,0,0,0,0,0
2048557,29,7,1984,11,male,318,51,20,0,0,0,0,0,0
1516679,64,26,1949,1,male,563,51,35,0,1,0,1,0,0
2045898,65,9,1948,2,male,625,50,16,0,0,0,0,0,0
1939888,51,8,1962,3,male,22,51,47,0,10,0,7,0,3
1857063,53,13,1960,5,male,122,51,39,0,0,0,0,0,0
1419305,19,6,1994,6,male,155,51,47,0,14,0,2,0,12
2080830,36,2,1977,6,female,17,50,49,0,2,0,1,0,1
1147880,36,4,1977,12,male,357,50,31,0,0,0,0,0,0
1617709,22,19,1991,1,male,68,50,28,0,4,0,0,0,4
1640862,30,1,1983,2,male,214,51,29,0,2,0,1,0,1
2178900,55,13,1958,2,male,67,50,47,0,0,0,0,0,0
1955425,68,2,1945,6,male,231,50,38,0,0,0,0,0,0
1582057,61,12,1952,7,male,527,50,29,0,0,0,0,0,0
1481459,66,17,1947,7,male,167,51,50,0,0,0,0,0,0
1599975,69,27,1944,8,male,355,51,33,0,0,0,0,0,0
1030868,108,30,1905,10,male,25,50,50,0,0,0,0,0,0
1554238,51,3,1962,12,male,541,50,44,0,0,0,0,0,0
1121890,31,9,1982,1,male,725,50,38,0,1,0,0,0,1
1371196,39,9,1974,1,male,536,50,28,0,0,0,0,0,0
1375468,29,26,1984,2,male,614,51,33,0,1,0,0,0,1
1017440,67,16,1946,7,male,365,50,26,0,0,0,0,0,0
1383606,48,21,1965,5,female,46,51,47,0,8,0,2,0,6
1953670,56,29,1957,6,male,602,50,28,0,0,0,0,0,0
1629035,60,13,1953,7,male,447,51,42,0,5,0,1,0,4
1638366,59,21,1954,7,male,273,50,41,0,0,0,0,0,0
1149554,31,27,1982,7,male,132,51,46,0,1,0,1,0,0
1924665,47,15,1966,9,male,254,51,21,0,0,0,0,0,0
1678087,22,1,1991,10,male,505,50,25,0,6,0,5,0,1
1135014,102,15,1911,10,male,321,51,16,0,0,0,0,0,0
1853342,61,29,1952,1,male,64,50,49,0,0,0,0,0,0
1033902,20,1,1993,2,female,592,51,27,0,0,0,0,0,0
2016352,54,6,1959,2,male,480,51,37,0,0,0,0,0,0
2055323,22,5,1991,4,male,437,50,25,0,1,0,1,0,0
1423373,36,19,1977,4,female,358,50,43,0,0,0,0,0,0
1668798,34,16,1979,4,male,207,50,14,0,3,0,1,0,2
1904174,49,7,1964,4,male,31,51,29,0,2,0,0,0,2
1512154,24,25,1989,5,female,487,51,25,0,0,0,0,0,0
1974773,26,18,1987,6,male,328,50,28,0,0,0,0,0,0
1067791,56,28,1957,7,male,129,50,42,0,0,0,0,0,0
1055094,70,31,1943,9,male,143,51,37,0,4,0,4,0,0
1926464,65,19,1948,10,female,618,50,20,0,5,0,1,0,4
1304437,77,24,1936,11,male,445,50,19,0,0,0,0,0,0
1398460,31,15,1982,12,male,911,50,42,0,0,0,0,0,0
1732590,37,2,1976,12,female,624,50,35,0,0,0,0,0,0
1799329,51,4,1962,1,female,427,50,28,0,0,0,0,0,0
1933066,30,12,1983,1,male,340,50,34,0,0,0,0,0,0
1370294,66,26,1947,6,male,139,50,36,0,0,0,0,0,0
1666859,62,24,1951,7,male,317,51,25,0,4,0,0,0,4
1129329,20,3,1993,7,male,73,51,40,0,0,0,0,0,0
1754438,55,19,1958,8,male,62,50,44,0,0,0,0,0,0
1701043,52,16,1961,1,female,422,50,36,0,1,0,1,0,0
1337269,62,30,1951,3,male,88,50,33,0,0,0,0,0,0
2164932,53,5,1960,4,female,409,51,34,0,0,0,0,0,0
1329895,28,4,1985,4,male,334,51,27,0,4,0,0,0,4
1979074,66,10,1947,6,male,135,50,17,0,0,0,0,0,0
1034159,27,5,1986,7,male,349,50,30,0,0,0,0,0,0
